acteurs,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,30 000 000 $,,  19/10/2005,"
                                  1h 15min                            ",506716,,Animation,Etats-Unis,,"
                                    Tim Burton",,427,"
                Warner Bros.","
                            Les Noces funèbres",https://www.jpbox-office.com/fichfilm.php?id=727&view=2
,20 980 000 €,,  01/08/2001,"
                                  1h 38min                            ",505980,,Aventure - Action,France,,,,612,"
                EuropaCorp","
                            Le Baiser mortel du dragon",https://www.jpbox-office.com/fichfilm.php?id=2117&view=2
"
                            Helena Bonham Carter,
                            Johnny Depp,
                            Emily Watson",30 000 000 $,Danny Elfman,  19/10/2005,"
                                  1h 15min                            ",506716,,Animation,Etats-Unis,,"
                                    Tim Burton",,427,"
                Warner Bros.","
                            Les Noces funèbres",https://www.jpbox-office.com/fichfilm.php?id=727&view=2
,? €,,  14/10/2020,"
                                  1h 27min                            ",508815,,Comédie,France,,,,615,"
                Studiocanal","
                            30 jours max",https://www.jpbox-office.com/fichfilm.php?id=20747&view=2
,43 000 000 $,,  26/08/2009,"
                                  1h 22min                            ",508830,Franchise,Horreur,Etats-Unis,,,,398,"
                Metropolitan","
                            Destination Finale 4 - 3D",https://www.jpbox-office.com/fichfilm.php?id=10417&view=2
,5 010 000 €,,  19/06/2002,"
                                  2h 00min                            ",508466,Franchise,Comédie,France,,"
                                    Cédric Klapisch",,348,"
                Mars Distribution","
                            L'Auberge espagnole",https://www.jpbox-office.com/fichfilm.php?id=1754&view=2
,43 000 000 $,Brian Tyler,  26/08/2009,"
                                  1h 22min                            ",508830,Franchise,Horreur,Etats-Unis,,,,398,"
                Metropolitan","
                            Destination Finale 4 - 3D",https://www.jpbox-office.com/fichfilm.php?id=10417&view=2
"
                            Rosamund Pike,
                            Bruce Willis",,,  28/10/2009,"
                                  1h 25min                            ",508980,,Science Fiction,Etats-Unis,,"
                                    Jonathan Mostow",,301,"
                Walt Disney Pictures","
                            Clones",https://www.jpbox-office.com/fichfilm.php?id=10631&view=2
"
                            Rosamund Pike,
                            Bruce Willis",80 000 000 $,,  28/10/2009,"
                                  1h 25min                            ",508980,,Science Fiction,Etats-Unis,,"
                                    Jonathan Mostow",,301,"
                Walt Disney Pictures","
                            Clones",https://www.jpbox-office.com/fichfilm.php?id=10631&view=2
,80 000 000 $,,  18/01/2023,"
                                  3h 08min                            ",508796,,Drame,Etats-Unis,,"
                                    Damien Chazelle",,584,"
                Paramount","
                            Babylon",https://www.jpbox-office.com/fichfilm.php?id=21760&view=2
,80 000 000 $,,  13/09/2000,"
                                  2h 09min                            ",508911,,Thriller,Etats-Unis,,"
                                    Robert Zemeckis",,395,"
                UFD","
                            Apparences",https://www.jpbox-office.com/fichfilm.php?id=2420&view=2
"
                            Camille Cottin",,,  29/04/2015,"
                                  1h 20min                            ",509815,,Comédie,France,,,,312,"
                Gaumont","
                            Connasse, Princesse des coeurs",https://www.jpbox-office.com/fichfilm.php?id=15154&view=2
"
                            Camille Cottin",3 990 000 €,,  29/04/2015,"
                                  1h 20min                            ",509815,,Comédie,France,,,,312,"
                Gaumont","
                            Connasse, Princesse des coeurs",https://www.jpbox-office.com/fichfilm.php?id=15154&view=2
,88 000 000 $,,  05/10/2005,"
                                  1h 59min                            ",506944,,Fantasy,Grande-Bretagne,,"
                                    Terry Gilliam",,456,"
                Metropolitan","
                            Les Frères Grimm",https://www.jpbox-office.com/fichfilm.php?id=725&view=2
"
                            Idris Elba,
                            Ron Perlman",,,  17/07/2013,"
                                  2h 11min                            ",510094,,Science Fiction,Etats-Unis,,"
                                    Guillermo Del Toro",,641,"
                Warner Bros.","
                            Pacific Rim",https://www.jpbox-office.com/fichfilm.php?id=13067&view=2
"
                            Jennifer Lawrence,
                            Woody Harrelson",,James Newton Howard,  21/03/2012,"
                                  2h 22min                            ",509426,Franchise,Fantasy,Etats-Unis,,,,706,"
                Metropolitan","
                            Hunger Games",https://www.jpbox-office.com/fichfilm.php?id=12475&view=2
"
                            Jennifer Lawrence,
                            Woody Harrelson",78 000 000 $,James Newton Howard,  21/03/2012,"
                                  2h 22min                            ",509426,Franchise,Fantasy,Etats-Unis,,,,706,"
                Metropolitan","
                            Hunger Games",https://www.jpbox-office.com/fichfilm.php?id=12475&view=2
"
                            Brad Pitt,
                            Margot Robbie,
                            Tobey Maguire",80 000 000 $,,  18/01/2023,"
                                  3h 08min                            ",508796,,Drame,Etats-Unis,,"
                                    Damien Chazelle",,584,"
                Paramount","
                            Babylon",https://www.jpbox-office.com/fichfilm.php?id=21760&view=2
"
                            Idris Elba,
                            Ron Perlman",190 000 000 $,,  17/07/2013,"
                                  2h 11min                            ",510094,,Science Fiction,Etats-Unis,,"
                                    Guillermo Del Toro",,641,"
                Warner Bros.","
                            Pacific Rim",https://www.jpbox-office.com/fichfilm.php?id=13067&view=2
"
                            Harrison Ford,
                            Michelle Pfeiffer",80 000 000 $,Alan Silvestri,  13/09/2000,"
                                  2h 09min                            ",508911,,Thriller,Etats-Unis,,"
                                    Robert Zemeckis",,395,"
                UFD","
                            Apparences",https://www.jpbox-office.com/fichfilm.php?id=2420&view=2
"
                            Matt Damon,
                            Heath Ledger,
                            Monica Bellucci",88 000 000 $,,  05/10/2005,"
                                  1h 59min                            ",506944,,Fantasy,Grande-Bretagne,,"
                                    Terry Gilliam",,456,"
                Metropolitan","
                            Les Frères Grimm",https://www.jpbox-office.com/fichfilm.php?id=725&view=2
"
                            Audrey Tautou,
                            Romain Duris,
                            Judith Godrèche,
                            Cécile De France",5 010 000 €,,  19/06/2002,"
                                  2h 00min                            ",508466,Franchise,Comédie,France,,"
                                    Cédric Klapisch",,348,"
                Mars Distribution","
                            L'Auberge espagnole",https://www.jpbox-office.com/fichfilm.php?id=1754&view=2
"
                            Jet Li,
                            Bridget Fonda",20 980 000 €,,  01/08/2001,"
                                  1h 38min                            ",505980,,Aventure - Action,France,Luc Besson,,,612,"
                EuropaCorp","
                            Le Baiser mortel du dragon",https://www.jpbox-office.com/fichfilm.php?id=2117&view=2
,50 000 000 $,,  23/01/2008,"
                                  1h 56min                            ",507434,,Musical,Etats-Unis,,"
                                    Tim Burton",,365,"
                Warner Bros.","
                            Sweeney Todd, le diabolique barbier de Fleet Street",https://www.jpbox-office.com/fichfilm.php?id=298&view=2
"
                            Helena Bonham Carter,
                            Johnny Depp,
                            Sacha Baron Cohen,
                            Alan Rickman",50 000 000 $,,  23/01/2008,"
                                  1h 56min                            ",507434,,Musical,Etats-Unis,,"
                                    Tim Burton",,365,"
                Warner Bros.","
                            Sweeney Todd, le diabolique barbier de Fleet Street",https://www.jpbox-office.com/fichfilm.php?id=298&view=2
"
                            Philippe Lacheau,
                            José Garcia",? €,,  14/10/2020,"
                                  1h 27min                            ",508815,,Comédie,France,,,,615,"
                Studiocanal","
                            30 jours max",https://www.jpbox-office.com/fichfilm.php?id=20747&view=2
"
                            Anna Faris",60 000 000 $,,  23/12/2009,"
                                  1h 28min                            ",536385,Franchise,Film familial,Etats-Unis,,,,526,"
                20th Century Fox","
                            Alvin et les Chipmunks 2",https://www.jpbox-office.com/fichfilm.php?id=10610&view=2
"
                            Valérie Bonneton,
                            Christian Clavier,
                            Carole Bouquet",9 410 932 €,,  31/12/2014,"
                                  1h 19min                            ",538215,,Comédie,France,,"
                                    Patrice Leconte",,441,"
                Wild Bunch","
                            Une heure de tranquillité",https://www.jpbox-office.com/fichfilm.php?id=14492&view=2
"
                            Jackie Chan",40 000 000 $,James Horner,  18/08/2010,"
                                  2h 06min                            ",537271,,Aventure - Action,Etats-Unis,Will Smith,,Remake,530,"
                Sony Pictures","
                            The Karate Kid (2010)",https://www.jpbox-office.com/fichfilm.php?id=11115&view=2
,60 000 000 $,,  02/09/1998,"
                                  2h 40min                            ",511833,,Romance,Etats-Unis,,"
                                    Robert Redford",,335,"
                GBVI","
                            L'Homme qui murmurait à l'oreille des chevaux",https://www.jpbox-office.com/fichfilm.php?id=3050&view=2
,45 000 000 $,,  11/01/1995,"
                                  2h 08min                            ",510869,,Fantasy,Etats-Unis,,"
                                    Kenneth Branagh",,294,"
                Columbia","
                            Frankenstein",https://www.jpbox-office.com/fichfilm.php?id=4271&view=2
,16 304 796 €,,  20/01/2010,"
                                  2h 10min                            ",511713,,Comédie dramatique,France,,,,499,"
                Universal","
                            Gainsbourg - (vie héroïque)",https://www.jpbox-office.com/fichfilm.php?id=10989&view=2
,190 000 000 $,,  22/12/2021,"
                                  2h 28min                            ",513133,Franchise,Science Fiction,Etats-Unis,,"
                                     Wachowski (brothers)",,578,"
                Warner Bros.","
                            Matrix Resurrections",https://www.jpbox-office.com/fichfilm.php?id=19943&view=2
,5 000 000 $,,  08/10/2014,"
                                  1h 38min                            ",512895,Franchise,Horreur,Etats-Unis,,,,219,"
                Warner Bros.","
                            Annabelle",https://www.jpbox-office.com/fichfilm.php?id=14555&view=2
,83 000 000 $,,  15/12/1999,"
                                  2h 04min                            ",511835,,Aventure - Action,Etats-Unis,,"
                                    Peter Hyams",,214,"
                Metropolitan","
                            La Fin des temps",https://www.jpbox-office.com/fichfilm.php?id=2732&view=2
,10 783 053 €,,  04/03/2020,"
                                  1h 48min                            ",511913,,Drame,France,,,,619,"
                SND","
                            De Gaulle",https://www.jpbox-office.com/fichfilm.php?id=20121&view=2
"
                            Harrison Ford",,John Williams,  12/03/1997,"
                                  2h 01min                            ",513896,Franchise,Fantasy,Etats-Unis,George Lucas,"
                                    George Lucas",,404,"
                UFD","
                            La Guerre des étoiles (Special Edition)",https://www.jpbox-office.com/fichfilm.php?id=11589&view=2
,17 290 000 €,,  04/12/2013,"
                                  1h 54min                            ",513407,Franchise,Comédie,France,,"
                                    Cédric Klapisch",,542,"
                Studiocanal","
                            Casse-tête chinois",https://www.jpbox-office.com/fichfilm.php?id=13229&view=2
,125 000 000 $,,  23/07/2008,"
                                  1h 54min                            ",517088,Franchise,Comicbook,Etats-Unis,,"
                                    Louis Leterrier",Remake,679,"
                SND","
                            L'Incroyable Hulk",https://www.jpbox-office.com/fichfilm.php?id=18&view=2
"
                            Harrison Ford",11 000 000 $,John Williams,  12/03/1997,"
                                  2h 01min                            ",513896,Franchise,Fantasy,Etats-Unis,George Lucas,"
                                    George Lucas",,404,"
                UFD","
                            La Guerre des étoiles (Special Edition)",https://www.jpbox-office.com/fichfilm.php?id=11589&view=2
,200 000 000 $,,  04/03/2020,"
                                  1h 40min                            ",515381,,Animation,Etats-Unis,,,,579,"
                Walt Disney Pictures","
                            En avant",https://www.jpbox-office.com/fichfilm.php?id=19456&view=2
,135 000 000 $,,  19/02/2020,"
                                  1h 40min                            ",522494,,Aventure - Action,Etats-Unis,,,,472,"
                Walt Disney Pictures","
                            L'Appel de la forêt",https://www.jpbox-office.com/fichfilm.php?id=19815&view=2
"
                            Harrison Ford,
                            Omar Sy",135 000 000 $,,  19/02/2020,"
                                  1h 40min                            ",522494,,Aventure - Action,Etats-Unis,,,,472,"
                Walt Disney Pictures","
                            L'Appel de la forêt",https://www.jpbox-office.com/fichfilm.php?id=19815&view=2
,75 000 000 $,,  31/07/1996,"
                                  2h 16min                            ",523200,,Aventure - Action,Etats-Unis,,"
                                    Michael Bay",,479,"
                GBVI","
                            Rock",https://www.jpbox-office.com/fichfilm.php?id=3679&view=2
"
                            Sean Connery,
                            Nicolas Cage,
                            Ed Harris,
                            Jim Caviezel",75 000 000 $,Hans Zimmer,  31/07/1996,"
                                  2h 16min                            ",523200,,Aventure - Action,Etats-Unis,Jerry Brukheimer,"
                                    Michael Bay",,479,"
                GBVI","
                            Rock",https://www.jpbox-office.com/fichfilm.php?id=3679&view=2
"
                            Tom Holland,
                            Chris Pratt",200 000 000 $,,  04/03/2020,"
                                  1h 40min                            ",515381,,Animation,Etats-Unis,,,,579,"
                Walt Disney Pictures","
                            En avant",https://www.jpbox-office.com/fichfilm.php?id=19456&view=2
"
                            Edward Norton,
                            Liv Tyler",125 000 000 $,,  23/07/2008,"
                                  1h 54min                            ",517088,Franchise,Comicbook,Etats-Unis,Kevin Feige,"
                                    Louis Leterrier",Remake,679,"
                SND","
                            L'Incroyable Hulk",https://www.jpbox-office.com/fichfilm.php?id=18&view=2
"
                            Cécile De France,
                            Romain Duris,
                            Audrey Tautou",17 290 000 €,,  04/12/2013,"
                                  1h 54min                            ",513407,Franchise,Comédie,France,,"
                                    Cédric Klapisch",,542,"
                Studiocanal","
                            Casse-tête chinois",https://www.jpbox-office.com/fichfilm.php?id=13229&view=2
"
                            Isabelle Carré,
                            Lambert Wilson,
                            Oliver Gourmet",10 783 053 €,,  04/03/2020,"
                                  1h 48min                            ",511913,,Drame,France,,,,619,"
                SND","
                            De Gaulle",https://www.jpbox-office.com/fichfilm.php?id=20121&view=2
"
                            Carrie-Anne Moss,
                            Keanu Reeves,
                            Lambert Wilson,
                            Christina Ricci",190 000 000 $,,  22/12/2021,"
                                  2h 28min                            ",513133,Franchise,Science Fiction,Etats-Unis,,"
                                     Wachowski (brothers)",,578,"
                Warner Bros.","
                            Matrix Resurrections",https://www.jpbox-office.com/fichfilm.php?id=19943&view=2
"
                            Arnold Schwarzenegger,
                            Gabriel Byrne",83 000 000 $,,  15/12/1999,"
                                  2h 04min                            ",511835,,Aventure - Action,Etats-Unis,,"
                                    Peter Hyams",,214,"
                Metropolitan","
                            La Fin des temps",https://www.jpbox-office.com/fichfilm.php?id=2732&view=2
"
                            Kenneth Branagh,
                            Robert De Niro,
                            Helena Bonham Carter",45 000 000 $,,  11/01/1995,"
                                  2h 08min                            ",510869,,Fantasy,Etats-Unis,,"
                                    Kenneth Branagh",,294,"
                Columbia","
                            Frankenstein",https://www.jpbox-office.com/fichfilm.php?id=4271&view=2
"
                            Robert Redford,
                            Kristin Scott Thomas,
                            Scarlett Johansson,
                            Sam Neill",60 000 000 $,Thomas Newman,  02/09/1998,"
                                  2h 40min                            ",511833,,Romance,Etats-Unis,,"
                                    Robert Redford",,335,"
                GBVI","
                            L'Homme qui murmurait à l'oreille des chevaux",https://www.jpbox-office.com/fichfilm.php?id=3050&view=2
"
                            Yolande Moreau",16 304 796 €,,  20/01/2010,"
                                  2h 10min                            ",511713,,Comédie dramatique,France,,,,499,"
                Universal","
                            Gainsbourg - (vie héroïque)",https://www.jpbox-office.com/fichfilm.php?id=10989&view=2
,15 000 000 $,,  26/10/2005,"
                                  2h 04min                            ",523285,,Drame,Etats-Unis,,"
                                    Woody Allen",,297,"
                TFM Distribution","
                            Match Point",https://www.jpbox-office.com/fichfilm.php?id=722&view=2
,120 000 000 $,,  21/02/2007,"
                                  1h 54min                            ",523901,,Comicbook,Etats-Unis,,,,426,"
                SND","
                            Ghost Rider",https://www.jpbox-office.com/fichfilm.php?id=34&view=2
"
                            Nicolas Cage,
                            Eva Mendes,
                            Rebel Wilson",120 000 000 $,,  21/02/2007,"
                                  1h 54min                            ",523901,,Comicbook,Etats-Unis,,,,426,"
                SND","
                            Ghost Rider",https://www.jpbox-office.com/fichfilm.php?id=34&view=2
"
                            Scarlett Johansson,
                            Jonathan Rhys Meyers",15 000 000 $,,  26/10/2005,"
                                  2h 04min                            ",523285,,Drame,Etats-Unis,,"
                                    Woody Allen",,297,"
                TFM Distribution","
                            Match Point",https://www.jpbox-office.com/fichfilm.php?id=722&view=2
,150 000 000 $,,  28/07/2010,"
                                  1h 43min                            ",526009,,Aventure - Action,Etats-Unis,,"
                                    M. Night Shyamalan",,477,"
                Paramount","
                            Le Dernier maître de l'air",https://www.jpbox-office.com/fichfilm.php?id=10852&view=2
"
                            Dev Patel",150 000 000 $,James Newton Howard,  28/07/2010,"
                                  1h 43min                            ",526009,,Aventure - Action,Etats-Unis,Frank Marshall,"
                                    M. Night Shyamalan",,477,"
                Paramount","
                            Le Dernier maître de l'air",https://www.jpbox-office.com/fichfilm.php?id=10852&view=2
"
                            Gilles Lellouche,
                            Karin Viard",,,  16/03/2011,"
                                  1h 49min                            ",530847,,Comédie dramatique,France,,"
                                    Cédric Klapisch",,482,"
                Studiocanal","
                            Ma part du gâteau",https://www.jpbox-office.com/fichfilm.php?id=11808&view=2
"
                            Gilles Lellouche,
                            Karin Viard",7 813 053 €,,  16/03/2011,"
                                  1h 49min                            ",530847,,Comédie dramatique,France,,"
                                    Cédric Klapisch",,482,"
                Studiocanal","
                            Ma part du gâteau",https://www.jpbox-office.com/fichfilm.php?id=11808&view=2
,11 700 000 €,,  13/12/2006,"
                                  1h 43min                            ",527454,,Comédie,France,,"
                                    Pierre Salvadori",,443,"
                TFM Distribution","
                            Hors de prix",https://www.jpbox-office.com/fichfilm.php?id=338&view=2
,10 805 481 €,,  25/04/2012,"
                                  1h 34min                            ",532593,Franchise,Film familial,France,,"
                                    Phlippe de Chauveron",,587,"
                UGC Distribution","
                            Les Vacances de Ducobu",https://www.jpbox-office.com/fichfilm.php?id=12647&view=2
,67 000 000 $,,  03/04/2002,"
                                  1h 41min                            ",533300,Franchise,Aventure - Action,Etats-Unis,,"
                                    Paul W.S. Anderson",,397,"
                Metropolitan","
                            Resident Evil",https://www.jpbox-office.com/fichfilm.php?id=1779&view=2
,40 000 000 $,,  13/04/2011,"
                                  1h 51min                            ",533026,Franchise,Horreur,Etats-Unis,,"
                                    Wes Craven",,440,"
                SND","
                            Scream 4",https://www.jpbox-office.com/fichfilm.php?id=11277&view=2
,250 000 000 $,,  23/05/2018,"
                                  2h 15min                            ",531414,,Fantasy,Etats-Unis,,"
                                    Ron Howard",,844,"
                Walt Disney Pictures","
                            Solo: A Star Wars Story",https://www.jpbox-office.com/fichfilm.php?id=17413&view=2
"
                            Courteney Cox",40 000 000 $,,  13/04/2011,"
                                  1h 51min                            ",533026,Franchise,Horreur,Etats-Unis,,"
                                    Wes Craven",,440,"
                SND","
                            Scream 4",https://www.jpbox-office.com/fichfilm.php?id=11277&view=2
"
                            Milla Jovovich",67 000 000 $,,  03/04/2002,"
                                  1h 41min                            ",533300,Franchise,Aventure - Action,Etats-Unis,,"
                                    Paul W.S. Anderson",,397,"
                Metropolitan","
                            Resident Evil",https://www.jpbox-office.com/fichfilm.php?id=1779&view=2
,50 000 000 $,,  09/10/2002,"
                                  2h 04min                            ",535418,Franchise,Aventure - Action,Etats-Unis,,"
                                    Rob Cohen",,626,"
                Columbia","
                            XXX",https://www.jpbox-office.com/fichfilm.php?id=1772&view=2
"
                            Vin Diesel,
                            Samuel L. Jackson",50 000 000 $,,  09/10/2002,"
                                  2h 04min                            ",535418,Franchise,Aventure - Action,Etats-Unis,Neal H. Moritz,"
                                    Rob Cohen",,626,"
                Columbia","
                            XXX",https://www.jpbox-office.com/fichfilm.php?id=1772&view=2
"
                            Woody Harrelson",250 000 000 $,,  23/05/2018,"
                                  2h 15min                            ",531414,,Fantasy,Etats-Unis,Kathleen Kennedy,"
                                    Ron Howard",,844,"
                Walt Disney Pictures","
                            Solo: A Star Wars Story",https://www.jpbox-office.com/fichfilm.php?id=17413&view=2
"
                            Gad Elmaleh,
                            Audrey Tautou",11 700 000 €,,  13/12/2006,"
                                  1h 43min                            ",527454,,Comédie,France,,"
                                    Pierre Salvadori",,443,"
                TFM Distribution","
                            Hors de prix",https://www.jpbox-office.com/fichfilm.php?id=338&view=2
,61 000 000 $,,  08/10/2014,"
                                  2h 25min                            ",539178,,Thriller,Etats-Unis,,"
                                    David Fincher",,429,"
                20th Century Fox","
                            Gone Girl",https://www.jpbox-office.com/fichfilm.php?id=13992&view=2
"
                            Elie Semoun",10 805 481 €,,  25/04/2012,"
                                  1h 34min                            ",532593,Franchise,Film familial,France,,"
                                    Phlippe de Chauveron",,587,"
                UGC Distribution","
                            Les Vacances de Ducobu",https://www.jpbox-office.com/fichfilm.php?id=12647&view=2
"
                            Ben Affleck,
                            Colin Farrell,
                            Jennifer Garner",,,  19/03/2003,"
                                  1h 42min                            ",534365,,Comicbook,Etats-Unis,Kevin Feige,,,579,"
                UFD","
                            Daredevil",https://www.jpbox-office.com/fichfilm.php?id=1427&view=2
"
                            Ben Affleck,
                            Colin Farrell,
                            Jennifer Garner",78 000 000 $,,  19/03/2003,"
                                  1h 42min                            ",534365,,Comicbook,Etats-Unis,Kevin Feige,,,579,"
                UFD","
                            Daredevil",https://www.jpbox-office.com/fichfilm.php?id=1427&view=2
"
                            Ben Affleck,
                            Rosamund Pike",61 000 000 $,,  08/10/2014,"
                                  2h 25min                            ",539178,,Thriller,Etats-Unis,,"
                                    David Fincher",,429,"
                20th Century Fox","
                            Gone Girl",https://www.jpbox-office.com/fichfilm.php?id=13992&view=2
,? €,,  19/02/2020,"
                                  1h 38min                            ",541102,,Comédie,France,,,Remake,485,"
                Studiocanal","
                            10 jours sans maman",https://www.jpbox-office.com/fichfilm.php?id=20119&view=2
,3 860 000 €,,  30/04/1997,"
                                  1h 40min                            ",542034,Franchise,Comédie,France,,"
                                    Thomas Gilou",,244,"
                AFMD","
                            La Vérité si je mens!",https://www.jpbox-office.com/fichfilm.php?id=3362&view=2
"
                            Philippe Lacheau,
                            Gérard Jugnot",,,  16/04/2014,"
                                  1h 25min                            ",543729,,Comédie,France,,,,350,"
                Universal","
                            Babysitting",https://www.jpbox-office.com/fichfilm.php?id=14191&view=2
"
                            Richard Anconina,
                            José Garcia,
                            Vincent Elbaz",3 860 000 €,,  30/04/1997,"
                                  1h 40min                            ",542034,Franchise,Comédie,France,,"
                                    Thomas Gilou",,244,"
                AFMD","
                            La Vérité si je mens!",https://www.jpbox-office.com/fichfilm.php?id=3362&view=2
"
                            Elle Fanning",,,  14/12/2016,"
                                  1h 29min                            ",542443,,Animation,France,,,,614,"
                Gaumont","
                            Ballerina",https://www.jpbox-office.com/fichfilm.php?id=16413&view=2
,185 000 000 $,,  04/10/2017,"
                                  2h 43min                            ",544508,,Science Fiction,Etats-Unis,,"
                                    Denis Villeneuve",,658,"
                Sony Pictures","
                            Blade Runner 2049",https://www.jpbox-office.com/fichfilm.php?id=16339&view=2
"
                            Elle Fanning",26 896 205 €,,  14/12/2016,"
                                  1h 29min                            ",542443,,Animation,France,,,,614,"
                Gaumont","
                            Ballerina",https://www.jpbox-office.com/fichfilm.php?id=16413&view=2
,92 000 000 $,,  09/01/2002,"
                                  2h 07min                            ",545164,,Aventure - Action,Etats-Unis,,"
                                    Tony Scott",,517,"
                Metropolitan","
                            Spy Game jeux d'espions",https://www.jpbox-office.com/fichfilm.php?id=2106&view=2
,215 000 000 $,,  07/08/2013,"
                                  2h 15min                            ",544062,,Western,Etats-Unis,,"
                                    Gore Verbinski",,714,"
                Walt Disney Pictures","
                            Lone Ranger",https://www.jpbox-office.com/fichfilm.php?id=12715&view=2
"
                            Philippe Lacheau,
                            Gérard Jugnot",3 400 000 €,,  16/04/2014,"
                                  1h 25min                            ",543729,,Comédie,France,,,,350,"
                Universal","
                            Babysitting",https://www.jpbox-office.com/fichfilm.php?id=14191&view=2
,30 000 000 $,,  11/05/2011,"
                                  1h 34min                            ",545601,,Romance,Etats-Unis,,"
                                    Woody Allen",,406,"
                Mars Distribution","
                            Minuit à Paris",https://www.jpbox-office.com/fichfilm.php?id=11957&view=2
,23 129 213 €,,  02/10/2013,"
                                  1h 32min                            ",545928,,Comédie,France,,,,645,"
                Mars Distribution","
                            Eyjafjallajökull",https://www.jpbox-office.com/fichfilm.php?id=13646&view=2
"
                            Gad Elmaleh,
                            Sophie Marceau,
                            François Berléand",,,  27/06/2012,"
                                  1h 49min                            ",546052,,Romance,France,,"
                                    James Huth",,499,"
                Pathé","
                            Un bonheur n'arrive jamais seul",https://www.jpbox-office.com/fichfilm.php?id=12742&view=2
"
                            Albert Dupontel,
                            Sandrine Kiberlain,
                            Laure Calamy,
                            Jean Dujardin,
                            Yolande Moreau",,,  16/10/2013,"
                                  1h 21min                            ",546618,,Comédie,France,,"
                                    Albert Dupontel",,360,"
                Wild Bunch","
                            9 mois ferme",https://www.jpbox-office.com/fichfilm.php?id=13601&view=2
"
                            Albert Dupontel,
                            Sandrine Kiberlain,
                            Laure Calamy,
                            Jean Dujardin,
                            Yolande Moreau",7 124 618 €,,  16/10/2013,"
                                  1h 21min                            ",546618,,Comédie,France,,"
                                    Albert Dupontel",,360,"
                Wild Bunch","
                            9 mois ferme",https://www.jpbox-office.com/fichfilm.php?id=13601&view=2
"
                            Dany Boon,
                            Valérie Bonneton",23 129 213 €,,  02/10/2013,"
                                  1h 32min                            ",545928,,Comédie,France,,,,645,"
                Mars Distribution","
                            Eyjafjallajökull",https://www.jpbox-office.com/fichfilm.php?id=13646&view=2
"
                            Gad Elmaleh,
                            Sophie Marceau,
                            François Berléand",15 670 729 €,,  27/06/2012,"
                                  1h 49min                            ",546052,,Romance,France,,"
                                    James Huth",,499,"
                Pathé","
                            Un bonheur n'arrive jamais seul",https://www.jpbox-office.com/fichfilm.php?id=12742&view=2
,130 000 000 $,,  05/06/2013,"
                                  1h 40min                            ",548418,,Science Fiction,Etats-Unis,,"
                                    M. Night Shyamalan",,497,"
                Sony Pictures","
                            After Earth",https://www.jpbox-office.com/fichfilm.php?id=12914&view=2
"
                            Will Smith",130 000 000 $,James Newton Howard,  05/06/2013,"
                                  1h 40min                            ",548418,,Science Fiction,Etats-Unis,Will Smith,"
                                    M. Night Shyamalan",,497,"
                Sony Pictures","
                            After Earth",https://www.jpbox-office.com/fichfilm.php?id=12914&view=2
"
                            Marion Cotillard,
                            Owen Wilson,
                            Adrien Brody,
                            Gad Elmaleh,
                            Léa Seydoux,
                            Manu Payet",30 000 000 $,,  11/05/2011,"
                                  1h 34min                            ",545601,,Romance,Etats-Unis,,"
                                    Woody Allen",,406,"
                Mars Distribution","
                            Minuit à Paris",https://www.jpbox-office.com/fichfilm.php?id=11957&view=2
"
                            Harrison Ford,
                            Ryan Gosling,
                            Jared Leto,
                            Robin Wright",185 000 000 $,Hans Zimmer,  04/10/2017,"
                                  2h 43min                            ",544508,,Science Fiction,Etats-Unis,Ridley Scott,"
                                    Denis Villeneuve",,658,"
                Sony Pictures","
                            Blade Runner 2049",https://www.jpbox-office.com/fichfilm.php?id=16339&view=2
"
                            Brad Pitt,
                            Robert Redford,
                            Charlotte Rampling",92 000 000 $,,  09/01/2002,"
                                  2h 07min                            ",545164,,Aventure - Action,Etats-Unis,,"
                                    Tony Scott",,517,"
                Metropolitan","
                            Spy Game jeux d'espions",https://www.jpbox-office.com/fichfilm.php?id=2106&view=2
"
                            Franck Dubosc",? €,,  19/02/2020,"
                                  1h 38min                            ",541102,,Comédie,France,,,Remake,485,"
                Studiocanal","
                            10 jours sans maman",https://www.jpbox-office.com/fichfilm.php?id=20119&view=2
"
                            Johnny Depp,
                            Helena Bonham Carter",215 000 000 $,Hans Zimmer,  07/08/2013,"
                                  2h 15min                            ",544062,,Western,Etats-Unis,Jerry Brukheimer,"
                                    Gore Verbinski",,714,"
                Walt Disney Pictures","
                            Lone Ranger",https://www.jpbox-office.com/fichfilm.php?id=12715&view=2
"
                            Michael Douglas,
                            Sean Penn",50 000 000 $,Howard Shore,  05/11/1997,"
                                  2h 08min                            ",552994,,Aventure - Action,Etats-Unis,,"
                                    David Fincher",,352,"
                Polygram","
                            The Game",https://www.jpbox-office.com/fichfilm.php?id=3392&view=2
"
                            Mélanie Laurent",8 700 000 €,,  26/12/2018,"
                                  1h 37min                            ",573356,,Aventure - Action,France,Jacques Perrin,,,529,"
                Studiocanal","
                            Mia et le lion blanc",https://www.jpbox-office.com/fichfilm.php?id=18758&view=2
"
                            Nicole Kidman",55 000 000 $,,  03/12/2014,"
                                  1h 35min                            ",570040,,Film familial,Grande-Bretagne,,,,574,"
                Studiocanal","
                            Paddington",https://www.jpbox-office.com/fichfilm.php?id=14007&view=2
